"route_segment","total_shipments","avg_delay","late_count","avg_sales","avg_profit","on_time_rate"
"First Class > Africa > Central Africa","96","1.0","89","159.61562836510416","15.610728947427083","7.2916666666666625"
"First Class > Africa > East Africa","96","1.0","94","176.44812904239583","25.501041655031248","2.083333333333337"
"First Class > Africa > North Africa","155","1.0","150","174.90858469509678","22.401161203741935","3.2258064516129004"
"First Class > Africa > Southern Africa","65","1.0","64","172.93846579707693","16.040307997415386","1.538461538461533"
"First Class > Africa > West Africa","145","1.0","139","170.85021083751724","13.608551791248274","4.137931034482756"
"First Class > Europe > Eastern Europe","212","1.0","202","164.10047582731133","15.006415134245282","4.716981132075471"
"First Class > Europe > Northern Europe","551","1.0","528","227.72900629767693","23.681179819580763","4.174228675136115"
"First Class > Europe > Southern Europe","525","1.0","507","230.30369955394286","21.460076425260954","3.4285714285714253"
"First Class > Europe > Western Europe","1590","1.0","1516","224.88737521548427","27.46305036895849","4.654088050314464"
"First Class > LATAM > Caribbean","415","1.0","392","177.95778738245784","20.4922408823253","5.5421686746988"
"First Class > LATAM > Central America","1448","1.0","1382","184.05441727837015","22.492431032549725","4.558011049723754"
"First Class > LATAM > South America","775","1.0","724","176.85263629669677","23.63615469755226","6.580645161290322"
"First Class > Pacific Asia > Central Asia","19","1.0","19","158.82421433157896","22.07526352568421","0.0"
"First Class > Pacific Asia > Eastern Asia","499","1.0","469","200.21413214751504","26.473426885228456","6.012024048096187"
"First Class > Pacific Asia > Oceania","596","1.0","566","184.68713475587248","25.885620788541946","5.033557046979864"
"First Class > Pacific Asia > South Asia","543","1.0","523","197.1491015876243","23.449281733661138","3.6832412523020275"
"First Class > Pacific Asia > Southeast Asia","682","1.0","650","188.39518002517593","25.88656898508944","4.692082111436946"
"First Class > Pacific Asia > West Asia","329","1.0","316","163.34863577267475","13.998814703805472","3.951367781155013"
"First Class > USCA > Canada","58","1.0","53","142.67379649431035","16.212586508896553","8.62068965517241"
"First Class > USCA > East of USA","357","1.0","342","161.34073220322128","18.20246506227731","4.201680672268903"
"First Class > USCA > South of  USA","197","1.0","187","166.91005448461928","21.722030518319794","5.076142131979699"
"First Class > USCA > US Center","328","1.0","314","163.36232052006096","17.635579243356705","4.268292682926833"
"First Class > USCA > West of USA","398","1.0","376","167.59857166166083","14.221457356412062","5.527638190954775"
"Same Day > Africa > Central Africa","29","0.27586206896551724","8","158.25345072413793","13.598965824586209","72.41379310344827"
"Same Day > Africa > East Africa","36","0.4166666666666667","15","165.119725975","2.1913886579722224","58.33333333333333"
"Same Day > Africa > North Africa","68","0.5441176470588235","35","184.03515078573528","0.23279436836764641","48.529411764705884"
"Same Day > Africa > Southern Africa","23","0.7391304347826086","14","208.23782962869566","-36.78913097847826","39.13043478260869"
"Same Day > Africa > West Africa","78","0.46153846153846156","33","177.68461909975642","4.485768933282051","57.692307692307686"
"Same Day > Europe > Eastern Europe","55","0.36363636363636365","20","145.23763941345456","14.121454850400001","63.63636363636363"
"Same Day > Europe > Northern Europe","208","0.4230769230769231","82","212.93654199159135","23.023798281057694","60.57692307692308"
